<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
31/08/20;15:00:00;125.8000000;126.1000000;125.3600000;125.7500000;133550
31/08/20;15:30:00;125.7400000;126.1000000;125.2100000;125.7500000;268028
31/08/20;16:00:00;125.7800000;126.0500000;125.3000000;125.6600000;267933
31/08/20;16:30:00;125.6900000;128.0700000;125.0200000;127.6200000;1572805
31/08/20;17:00:00;127.6200000;128.5000000;126.3500000;128.0300000;12715466
31/08/20;17:30:00;128.0500000;128.5000000;127.1300000;128.2400000;3465771
31/08/20;18:00:00;128.2300000;129.5000000;127.8500000;129.0800000;3742232
31/08/20;18:30:00;129.0800000;130.0500000;128.0000000;128.5400000;3805512
31/08/20;19:00:00;128.5400000;129.5200000;127.7000000;128.9400000;2142491
31/08/20;19:30:00;128.9400000;129.4000000;128.5300000;129.3100000;1073499
31/08/20;20:00:00;129.3400000;129.7000000;128.9600000;129.4500000;1074856
31/08/20;20:30:00;129.4700000;130.9000000;129.4000000;130.2600000;2464468
31/08/20;21:00:00;130.2900000;131.0000000;130.2600000;130.7100000;960549
31/08/20;21:30:00;130.7000000;130.8800000;130.5000000;130.6300000;882955
31/08/20;22:00:00;130.6200000;130.6900000;129.7600000;130.5100000;1445997
31/08/20;22:30:00;130.5200000;130.6000000;129.3700000;130.0000000;1842003
31/08/20;23:00:00;130.0000000;130.2900000;128.7700000;128.8400000;5134624
31/08/20;23:30:00;128.8500000;129.6600000;128.8500000;129.5600000;13203697
01/09/20;00:00:00;129.5800000;129.6600000;129.0000000;129.0500000;82790
01/09/20;00:30:00;129.0400000;129.6300000;129.0200000;129.5000000;35170
01/09/20;01:00:00;129.6000000;129.6400000;129.3800000;129.4400000;9681
01/09/20;01:30:00;129.4200000;129.6500000;129.0100000;129.3000000;23388
01/09/20;02:00:00;129.3900000;129.5000000;129.2000000;129.3000000;3561
01/09/20;10:30:00;131.7800000;134.0000000;129.9100000;133.6900000;47789
01/09/20;11:00:00;133.6900000;134.0000000;132.8100000;133.9000000;25911
01/09/20;11:30:00;133.8500000;133.9400000;131.5700000;132.1000000;31227
01/09/20;12:00:00;132.1000000;133.0000000;132.0500000;132.4600000;14597
01/09/20;12:30:00;132.4600000;132.6700000;132.2000000;132.5100000;6143
01/09/20;13:00:00;132.5100000;132.8400000;132.4700000;132.6500000;7279
01/09/20;13:30:00;132.6700000;132.8400000;132.5000000;132.7300000;7140
01/09/20;14:00:00;132.7300000;132.9000000;132.3700000;132.6600000;7480
01/09/20;14:30:00;132.6600000;132.6600000;131.1000000;131.3900000;14066
01/09/20;15:00:00;131.3900000;132.0000000;131.1700000;132.0000000;78985
