<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
31/08/20;15:00:00;322.6600000;322.6600000;322.6600000;322.6600000;1
31/08/20;15:30:00;322.7800000;322.7800000;322.3000000;322.3000000;319
31/08/20;16:00:00;322.5200000;322.5200000;322.2600000;322.2600000;276
31/08/20;16:30:00;322.2000000;322.2200000;321.7500000;321.9600000;1654
31/08/20;17:00:00;321.8800000;322.2100000;321.5200000;321.6200000;60049
31/08/20;17:30:00;321.6300000;322.0500000;321.4600000;321.7600000;33512
31/08/20;18:00:00;321.7600000;322.2500000;321.7400000;322.1900000;30772
31/08/20;18:30:00;322.2300000;322.3600000;320.7900000;321.1300000;49290
31/08/20;19:00:00;321.1300000;321.9500000;320.8800000;321.7400000;36452
31/08/20;19:30:00;321.7500000;322.2300000;321.6300000;321.9800000;16430
31/08/20;20:00:00;321.9700000;322.1100000;321.7300000;322.0900000;19153
31/08/20;20:30:00;322.0800000;322.2500000;321.9600000;322.1700000;16332
31/08/20;21:00:00;322.1800000;322.4200000;322.1000000;322.1500000;13794
31/08/20;21:30:00;322.1800000;322.2800000;321.9400000;321.9400000;20002
31/08/20;22:00:00;322.0000000;322.4100000;321.8100000;322.3400000;27917
31/08/20;22:30:00;322.3500000;322.3700000;321.5200000;322.0300000;51343
31/08/20;23:00:00;322.0400000;322.8100000;321.0000000;321.0000000;166586
31/08/20;23:30:00;320.9900000;321.5100000;320.7900000;321.4900000;11758
01/09/20;00:00:00;321.4000000;321.4000000;320.9800000;320.9800000;1023
01/09/20;00:30:00;321.3600000;321.3600000;321.0700000;321.1100000;4
01/09/20;01:30:00;321.0000000;321.0000000;320.3500000;320.3500000;115
01/09/20;02:00:00;320.6600000;320.6600000;320.6600000;320.6600000;300
01/09/20;15:00:00;322.1000000;322.1000000;322.0600000;322.0600000;51
01/09/20;16:00:00;322.2700000;322.4500000;321.9900000;321.9900000;1328
01/09/20;16:30:00;321.8000000;321.8100000;321.1100000;321.8100000;1823
01/09/20;17:00:00;321.8000000;322.1500000;320.9400000;322.0500000;50550
01/09/20;17:30:00;322.0700000;322.9100000;321.7900000;322.9100000;52224
01/09/20;18:00:00;322.8900000;322.8900000;322.1700000;322.2000000;69538
01/09/20;18:30:00;322.2300000;322.7300000;321.9900000;322.3400000;134175
01/09/20;19:00:00;322.3600000;322.5800000;322.2200000;322.2900000;27440
01/09/20;19:30:00;322.3600000;322.6900000;322.2700000;322.5200000;9547
01/09/20;20:00:00;322.5500000;322.7200000;322.3400000;322.7100000;12460
01/09/20;20:30:00;322.7200000;322.7200000;322.4300000;322.5500000;4263
01/09/20;21:00:00;322.5700000;322.9700000;322.5000000;322.8300000;9985
01/09/20;21:30:00;322.8600000;323.2700000;322.7800000;323.2100000;14246
01/09/20;22:00:00;323.2000000;323.3800000;323.1000000;323.2900000;24028
01/09/20;22:30:00;323.3100000;323.3600000;322.9100000;322.9800000;15367
01/09/20;23:00:00;323.0700000;324.1000000;322.9300000;324.0000000;70696
01/09/20;23:30:00;324.0300000;324.1500000;323.9200000;324.1300000;3166
02/09/20;00:00:00;324.1500000;324.3600000;324.0800000;324.3000000;1333
02/09/20;01:00:00;324.1100000;324.1100000;324.1000000;324.1000000;80
02/09/20;01:30:00;324.2500000;324.2500000;324.2500000;324.2500000;55
02/09/20;15:30:00;325.9600000;326.1500000;325.9600000;326.1500000;154
02/09/20;16:00:00;326.0300000;326.0300000;325.9300000;325.9900000;200
