Date,Open,High,Low,Close,Adj Close,Volume
2015-11-25,146.000000,147.070007,142.259995,143.990005,143.990005,43594760
2015-11-26,144.270004,146.210007,141.860001,143.199997,143.199997,31481580
2015-11-27,143.000000,143.100006,140.619995,140.649994,140.649994,29718120
2015-11-30,140.350006,142.470001,138.000000,138.000000,138.000000,39800140
2015-12-01,140.000000,140.000000,136.880005,137.419998,137.419998,25380730
2015-12-02,137.509995,139.449997,136.300003,136.850006,136.850006,28341350
2015-12-03,136.559998,140.660004,136.529999,140.000000,140.000000,41873610
2015-12-04,140.399994,141.600006,137.000000,137.699997,137.699997,37016790
2015-12-07,137.509995,138.580002,134.300003,134.500000,134.500000,37356040
2015-12-08,134.309998,135.559998,133.279999,134.649994,134.649994,35665180
2015-12-09,134.929993,136.199997,134.399994,135.809998,135.809998,25660130
2015-12-10,135.649994,136.820007,135.000000,135.600006,135.600006,25913580
2015-12-11,135.169998,135.600006,132.500000,133.800003,133.800003,27474105
2015-12-14,133.089996,133.179993,130.899994,131.589996,131.589996,34282190
2015-12-15,132.240005,134.899994,132.100006,134.399994,134.399994,31392380
2015-12-16,134.500000,135.169998,133.949997,134.500000,134.500000,20568260
2015-12-17,134.649994,138.690002,134.649994,137.899994,137.899994,45419720
2015-12-18,137.289993,137.389999,132.250000,132.250000,132.250000,38544860
2015-12-21,132.000000,133.940002,131.000000,131.500000,131.500000,28393100
2015-12-22,132.000000,133.539993,131.809998,133.199997,133.199997,20022420
2015-12-23,133.550003,135.300003,133.350006,135.300003,135.300003,26760910
2015-12-24,135.850006,138.080002,134.449997,136.000000,136.000000,36828650
2015-12-25,136.490005,136.490005,134.029999,134.479996,134.479996,14866310
2015-12-28,134.350006,135.399994,133.759995,134.970001,134.970001,11795110
2015-12-29,135.259995,137.550003,134.740005,137.490005,137.490005,21516980
2015-12-30,137.490005,137.490005,135.449997,136.089996,136.089996,17586600
2016-01-04,135.889999,136.649994,134.419998,134.910004,134.910004,12409380
2016-01-05,134.660004,137.279999,134.610001,136.449997,136.449997,14285210
2016-01-06,136.309998,136.929993,135.300003,135.940002,135.940002,10393910
2016-01-11,133.000000,133.649994,131.100006,131.380005,131.380005,34008830
2016-01-12,130.399994,135.250000,130.100006,133.539993,133.539993,39697670
2016-01-13,134.169998,134.479996,131.199997,131.300003,131.300003,30807520
2016-01-14,130.990005,131.490005,129.009995,130.860001,130.860001,43969320
2016-01-15,130.309998,132.429993,125.050003,125.099998,125.099998,62125020
2016-01-18,124.800003,126.300003,122.750000,124.599998,124.599998,36024930
2016-01-19,125.519997,128.399994,125.300003,125.980003,125.980003,36452020
2016-01-20,123.599998,125.830002,122.800003,125.830002,125.830002,35375480
2016-01-21,126.010002,128.089996,125.550003,127.750000,127.750000,34296460
2016-01-22,129.990005,132.979996,128.339996,132.399994,132.399994,57511540
2016-01-25,133.139999,133.190002,130.679993,133.000000,133.000000,30428580
2016-01-26,131.000000,132.449997,130.339996,131.889999,131.889999,26161430
2016-01-27,132.139999,134.000000,131.850006,134.000000,134.000000,28642080
2016-01-28,133.899994,136.500000,133.149994,136.500000,136.500000,40288270
2016-01-29,137.000000,137.199997,133.330002,136.600006,136.600006,41603070
2016-02-01,136.009995,136.339996,132.820007,133.899994,133.899994,31931470
2016-02-02,133.050003,135.279999,132.089996,132.500000,132.500000,36229240
2016-02-03,131.899994,133.000000,130.910004,131.009995,131.009995,30520610
2016-02-04,133.160004,135.250000,132.619995,135.070007,135.070007,38500510
2016-02-05,134.500000,136.199997,133.910004,134.429993,134.429993,24348950
2016-02-08,134.300003,134.970001,132.149994,133.500000,133.500000,30581080
2016-02-09,132.979996,135.190002,132.449997,132.699997,132.699997,30994180
